,event name,Classification,genre,venue,Date,Zip code,City,State
0,Marc Anthony,Music,World,Agganis Arena,2018-10-25,02215,Boston,Massachusetts
1,NICK CANNON PRESENTS: WILD 'N OUT LIVE,Arts & Theatre,Comedy,TD Garden,2018-08-24,02114,Boston,Massachusetts
2,Bad Bunny,Music,Hip-Hop/Rap,Agganis Arena,2018-08-17,02215,Boston,Massachusetts
3,Bruno Mars: 24K Magic World Tour,Music,Rock,TD Garden,2018-09-28,02114,Boston,Massachusetts
4,Kevin Hart: The Irresponsible Tour,Arts & Theatre,Comedy,TD Garden,2018-09-21,02114,Boston,Massachusetts
5,SHAWN MENDES: THE TOUR,Music,Rock,TD Garden,2019-08-15,02114,Boston,Massachusetts
6,Ozuna,Music,World,Agganis Arena,2018-09-30,02215,Boston,Massachusetts
7,Billie Eilish - 1 by 1 Tour,Music,Pop,House of Blues Boston presented by Cricket Wireless,2018-11-02,02215,Boston,Massachusetts
8,Bruno Mars: 24K Magic World Tour,Music,Rock,TD Garden,2018-09-27,02114,Boston,Massachusetts
9,Elton John: Farewell Yellow Brick Road,Music,Rock,TD Garden,2018-10-06,02114,Boston,Massachusetts
10,An Evening With Fleetwood Mac,Music,Rock,TD Garden,2019-03-31,02114,Boston,Massachusetts
11,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,TD Garden,2018-09-07,02114,Boston,Massachusetts
12,Maroon 5: Red Pill Blues Tour 2018,Music,Rock,TD Garden,2018-10-07,02114,Boston,Massachusetts
13,Elton John: Farewell Yellow Brick Road,Music,Rock,TD Garden,2018-11-06,02114,Boston,Massachusetts
14,Billy Joel,Music,Rock,Fenway Park,2018-08-10,02215,Boston,Massachusetts
15,Journey & Def Leppard,Music,Rock,Fenway Park,2018-08-11,02215,Boston,Massachusetts
16,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Rock,TD Garden,2018-10-26,02114,Boston,Massachusetts
17,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,TD Garden,2018-10-18,02114,Boston,Massachusetts
18,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,TD Garden,2018-09-09,02114,Boston,Massachusetts
19,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,TD Garden,2018-09-08,02114,Boston,Massachusetts
20,Mac Miller: The Swimming Tour,Music,Hip-Hop/Rap,Agganis Arena,2018-11-21,02215,Boston,Massachusetts
21,Phil Collins,Music,Rock,TD Garden,2018-10-09,02114,Boston,Massachusetts
22,Anita Baker,Music,R&B,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2018-08-16,02116,Boston,Massachusetts
23,NF - Perception Tour,Music,Hip-Hop/Rap,Agganis Arena,2018-10-13,02215,Boston,Massachusetts
24,5 Seconds of Summer: Meet You There Tour,Music,Rock,Blue Hills Bank Pavilion,2018-08-30,02210,Boston,Massachusetts
25,Maxwell,Music,R&B,Orpheum Theatre,2018-12-05,02108,Boston,Massachusetts
26,Childish Gambino,Music,Hip-Hop/Rap,TD Garden,2018-09-12,02114,Boston,Massachusetts
27,"HANSON STRING THEORY, Live with Orchestra",Music,Rock,Orpheum Theatre,2018-11-10,02108,Boston,Massachusetts
28,Jimmy Buffett and the Coral Reefer Band,Music,Rock,Fenway Park,2018-08-09,02215,Boston,Massachusetts
29,Jam'n 94.5 Presents Playboi Carti,Music,Hip-Hop/Rap,House of Blues Boston presented by Cricket Wireless,2018-08-11,02215,Boston,Massachusetts
30,NICKIHNDRXX TOUR,Music,Hip-Hop/Rap,TD Garden,2018-10-04,02114,Boston,Massachusetts
31,The The,Music,Rock,Orpheum Theatre,2018-09-14,02108,Boston,Massachusetts
32,Andrea Bocelli,Music,Classical,TD Garden,2018-12-15,02114,Boston,Massachusetts
33,Christina Aguilera: The Liberation Tour,Music,Pop,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2018-10-08,02116,Boston,Massachusetts
34,Sting & Shaggy - The 44/876 Tour,Music,Rock,House of Blues Boston presented by Cricket Wireless,2018-09-25,02215,Boston,Massachusetts
35,92.5 the River presents Leon Bridges: Good Thing Tour,Music,R&B,Agganis Arena,2018-10-04,02215,Boston,Massachusetts
36,New York Yankees at Boston Red Sox,Sports,Baseball,Fenway Park,2018-09-29,02215,Boston,Massachusetts
37,GHOST: A Pale Tour Named Death,Music,Metal,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2018-12-14,02116,Boston,Massachusetts
38,Nine Inch Nails: Cold and Black and Infinite North America 2018,Music,Rock,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2018-10-19,02116,Boston,Massachusetts
39,Nine Inch Nails: Cold and Black and Infinite North America 2018,Music,Rock,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2018-10-20,02116,Boston,Massachusetts
40,CAKE & BEN FOLDS,Music,Rock,Blue Hills Bank Pavilion,2018-08-13,02210,Boston,Massachusetts
41,SiriusXM Pres. Goo Goo Dolls - Dizzy Up The Girl 20th Anniversary Tour,Music,Rock,House of Blues Boston presented by Cricket Wireless,2018-10-17,02215,Boston,Massachusetts
42,Troye Sivan: The Bloom Tour with special guest Kim Petras,Music,Pop,Boch Center Wang Theatre (formerly Citi Performing Arts Center),2018-10-12,02116,Boston,Massachusetts
43,Lauren Daigle Look Up Child Tour,Music,Religious,Orpheum Theatre,2019-03-09,02108,Boston,Massachusetts
44,Davido,Music,World,House of Blues Boston presented by Cricket Wireless,2018-08-31,02215,Boston,Massachusetts
45,Bill Burr,Arts & Theatre,Comedy,TD Garden,2018-10-05,02114,Boston,Massachusetts
46,Gorillaz,Music,Rock,TD Garden,2018-10-14,02114,Boston,Massachusetts
47,Boston Bruins vs. Detroit Red Wings,Sports,Hockey,TD Garden,2018-10-13,02114,Boston,Massachusetts
48,Boston Bruins vs. Vegas Golden Knights,Sports,Hockey,TD Garden,2018-11-11,02114,Boston,Massachusetts
