,event name,Classification,genre,venue,Date,Zip code,City,State
0,Sam Smith: The Thrill Of It All Tour,Music,Rock,United Center,2018-08-15,60612,Chicago,Illinois
1,Chicago White Sox vs. New York Yankees,Sports,Baseball,Guaranteed Rate Field,2018-08-06,60616,Chicago,Illinois
2,Chicago Bears vs. Seattle Seahawks,Sports,Football,Soldier Field,2018-09-17,60605,Chicago,Illinois
3,Chicago White Sox vs. New York Yankees,Sports,Baseball,Guaranteed Rate Field,2018-08-08,60616,Chicago,Illinois
4,Chicago Bears vs. New England Patriots,Sports,Football,Soldier Field,2018-10-21,60605,Chicago,Illinois
5,Maroon 5: Red Pill Blues Tour 2018,Music,Rock,United Center,2018-09-14,60612,Chicago,Illinois
6,JAY-Z and BEYONCÉ - OTR II,Music,Hip-Hop/Rap,Soldier Field,2018-08-11,60605,Chicago,Illinois
7,Chicago Bears vs. Minnesota Vikings,Sports,Football,Soldier Field,2018-11-18,60605,Chicago,Illinois
8,An Evening With Fleetwood Mac,Music,Rock,United Center,2018-10-06,60612,Chicago,Illinois
9,Chicago Bears vs. New York Jets,Sports,Football,Soldier Field,2018-10-28,60605,Chicago,Illinois
10,Chicago Bears vs. Kansas City Chiefs,Sports,Football,Soldier Field,2018-08-25,60605,Chicago,Illinois
11,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,United Center,2018-10-05,60612,Chicago,Illinois
12,Chicago White Sox vs. New York Yankees,Sports,Baseball,Guaranteed Rate Field,2018-08-07,60616,Chicago,Illinois
13,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,United Center,2018-08-17,60612,Chicago,Illinois
14,Chicago Bears vs. Green Bay Packers,Sports,Football,Soldier Field,2018-12-16,60605,Chicago,Illinois
15,Elton John: Farewell Yellow Brick Road,Music,Rock,United Center,2018-10-26,60612,Chicago,Illinois
16,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Rock,United Center,2018-10-17,60612,Chicago,Illinois
17,Chicago Bears vs. Tampa Bay Buccaneers,Sports,Football,Soldier Field,2018-09-30,60605,Chicago,Illinois
18,Chicago Bears vs. Los Angeles Rams,Sports,Football,Soldier Field,2018-12-09,60605,Chicago,Illinois
19,Elton John: Farewell Yellow Brick Road,Music,Rock,United Center,2018-10-27,60612,Chicago,Illinois
20,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,United Center,2018-08-18,60612,Chicago,Illinois
21,"V103 Welcomes Maxwell: ""50 Intimate Nights Live""",Music,R&B,The Chicago Theatre,2018-12-02,60601,Chicago,Illinois
22,Fall Out Boy: The M A N I A Tour with Machine Gun Kelly,Music,Alternative,Wrigley Field,2018-09-08,60613,Chicago,Illinois
23,Chicago Bears vs. Detroit Lions,Sports,Football,Soldier Field,2018-11-11,60605,Chicago,Illinois
24,Mac Miller: The Swimming Tour,Music,Hip-Hop/Rap,Aragon Ballroom,2018-12-03,60640,Chicago,Illinois
25,JAY-Z and BEYONCÉ - OTR II,Music,Hip-Hop/Rap,Soldier Field,2018-08-10,60605,Chicago,Illinois
26,Chicago Bears vs. Buffalo Bills,Sports,Football,Soldier Field,2018-08-30,60605,Chicago,Illinois
27,Phil Collins,Music,Rock,United Center,2018-10-22,60612,Chicago,Illinois
28,5 Seconds of Summer: Meet You There Tour,Music,Rock,Aragon Ballroom,2018-09-08,60640,Chicago,Illinois
29,BTS WORLD TOUR 'LOVE YOURSELF',Music,Pop,United Center,2018-10-03,60612,Chicago,Illinois
30,NF - Perception Tour,Music,Hip-Hop/Rap,Aragon Ballroom,2018-10-07,60640,Chicago,Illinois
31,Live Nation Presents Lil Baby - Harder Than Ever Tour,Music,Hip-Hop/Rap,House of Blues Chicago presented by Cricket Wireless,2018-08-26,60654,Chicago,Illinois
32,NICKIHNDRXX TOUR,Music,Hip-Hop/Rap,United Center,2018-09-28,60612,Chicago,Illinois
33,Childish Gambino,Music,Hip-Hop/Rap,United Center,2018-09-08,60612,Chicago,Illinois
34,"HANSON STRING THEORY, Live with Orchestra",Music,Rock,The Chicago Theatre,2018-11-05,60601,Chicago,Illinois
35,Eagles,Music,Rock,United Center,2018-10-15,60612,Chicago,Illinois
36,"V103 Welcomes Maxwell: ""50 Intimate Nights Live""",Music,R&B,The Chicago Theatre,2018-12-03,60601,Chicago,Illinois
37,Chicago White Sox v. Chicago Cubs,Sports,Baseball,Guaranteed Rate Field,2018-09-22,60616,Chicago,Illinois
38,Florence and the Machine: The High As Hope Tour 2018,Music,Rock,United Center,2018-10-19,60612,Chicago,Illinois
39,BTS WORLD TOUR 'LOVE YOURSELF',Music,Pop,United Center,2018-10-02,60612,Chicago,Illinois
40,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,United Center,2018-08-20,60612,Chicago,Illinois
41,Luke Bryan,Music,Country,Wrigley Field,2018-09-01,60613,Chicago,Illinois
42,Chicago White Sox v. Chicago Cubs,Sports,Baseball,Guaranteed Rate Field,2018-09-23,60616,Chicago,Illinois
43,Ed Sheeran: 2018 North American Stadium Tour,Music,Pop,Soldier Field,2018-10-04,60605,Chicago,Illinois
