,event name,Classification,genre,venue,Date,Zip code,City,State
0,Denver Broncos v Oakland Raiders Half Price Game,Sports,Football,Broncos Stadium At Mile High,2018-09-16,80204,Denver,Colorado
1,Denver Broncos v Seattle Seahawks HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-09-09,80204,Denver,Colorado
2,Denver Broncos v Pittsburgh Steelers HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-11-25,80204,Denver,Colorado
3,Denver Broncos v LA Rams HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-10-14,80204,Denver,Colorado
4,Denver Broncos v Minnesota Vikings HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-08-11,80204,Denver,Colorado
5,Denver Broncos v Kansas City Chiefs Half Price Game,Sports,Football,Broncos Stadium At Mile High,2018-10-01,80204,Denver,Colorado
6,Denver Broncos v Chicago Bears HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-08-18,80204,Denver,Colorado
7,Denver Broncos v Houston Texans HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-11-04,80204,Denver,Colorado
8,Denver Broncos v LA Chargers HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-12-30,80204,Denver,Colorado
9,Denver Broncos v Cleveland Browns HALF PRICE GAME,Sports,Football,Broncos Stadium At Mile High,2018-12-15,80204,Denver,Colorado
10,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-08-12,80205,Denver,Colorado
11,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-08-11,80205,Denver,Colorado
12,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-08-09,80205,Denver,Colorado
13,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-08-10,80205,Denver,Colorado
14,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-09-08,80205,Denver,Colorado
15,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-09-09,80205,Denver,Colorado
16,Mac Miller: The Swimming Tour,Music,Hip-Hop/Rap,Fillmore Auditorium (Denver),2018-11-05,80218,Denver,Colorado
17,Colorado Rockies vs. Los Angeles Dodgers,Sports,Baseball,Coors Field,2018-09-07,80205,Denver,Colorado
18,Panic! at the Disco w/ A R I Z O N A,Music,Alternative,Pepsi Center,2018-08-07,80204,Denver,Colorado
19,5 Seconds of Summer: Meet You There Tour,Music,Rock,Fillmore Auditorium (Denver),2018-09-30,80218,Denver,Colorado
20,Ozuna,Music,Other,Pepsi Center,2018-10-07,80204,Denver,Colorado
21,Elton John,Music,Rock,Pepsi Center,2019-02-07,80204,Denver,Colorado
22,Shawn Mendes,Music,Pop,Pepsi Center,2019-07-02,80204,Denver,Colorado
23,Foo Fighters,Music,Alternative,Pepsi Center,2018-10-10,80204,Denver,Colorado
24,Bad Bunny,Music,Other,Bellco Theatre,2018-09-01,80202,Denver,Colorado
25,Sam Smith,Music,Pop,Pepsi Center,2018-08-21,80204,Denver,Colorado
26,Colorado Rockies vs. Pittsburgh Pirates,Sports,Baseball,Coors Field,2018-08-06,80205,Denver,Colorado
27,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,Music,Rock,Pepsi Center,2019-04-01,80204,Denver,Colorado
28,P!nk,Music,Pop,Pepsi Center,2019-04-01,80204,Denver,Colorado
29,Colorado Rockies vs. Pittsburgh Pirates,Sports,Baseball,Coors Field,2018-08-08,80205,Denver,Colorado
30,Elton John,Music,Rock,Pepsi Center,2019-02-06,80204,Denver,Colorado
31,Colorado Rockies vs. Pittsburgh Pirates,Sports,Baseball,Coors Field,2018-08-07,80205,Denver,Colorado
32,Colorado Rockies vs. Washington Nationals,Sports,Baseball,Coors Field,2018-09-28,80205,Denver,Colorado
33,Sting & Shaggy - The 44/876 Tour,Music,Rock,Fillmore Auditorium (Denver),2018-10-05,80218,Denver,Colorado
34,Troye Sivan: The Bloom Tour with special guest Kim Petras,Music,Pop,Fillmore Auditorium (Denver),2018-10-22,80218,Denver,Colorado
35,AJR: The Click Tour Part 2,Music,Pop,Fillmore Auditorium (Denver),2018-11-13,80218,Denver,Colorado
36,Bruno Mars,Music,R&B,Pepsi Center,2018-09-07,80204,Denver,Colorado
37,Børns,Music,Rock,Fillmore Auditorium (Denver),2018-10-14,80218,Denver,Colorado
38,Colorado Rockies vs. San Francisco Giants,Sports,Baseball,Coors Field,2018-09-03,80205,Denver,Colorado
39,Colorado Rockies vs. Washington Nationals,Sports,Baseball,Coors Field,2018-09-29,80205,Denver,Colorado
40,"YES featuring Jon Anderson, Trevor Rabin, Rick Wakeman",Music,Rock,Levitt Pavilion Denver,2018-09-03,80223,Denver,Colorado
41,The Summer Ever After Tour feat. Dashboard Confessional & All Time Low,Music,Rock,Fillmore Auditorium (Denver),2018-10-06,80218,Denver,Colorado
42,Alice in Chains,Music,Rock,Fillmore Auditorium (Denver),2018-09-13,80218,Denver,Colorado
43,Colorado Rockies vs. Arizona Diamondbacks,Sports,Baseball,Coors Field,2018-09-13,80205,Denver,Colorado
44,Dua Lipa: The Self-Titled Tour,Music,Rock,Fillmore Auditorium (Denver),2018-12-10,80218,Denver,Colorado
45,Colorado Rockies vs. Philadelphia Phillies,Sports,Baseball,Coors Field,2018-09-24,80205,Denver,Colorado
46,Alkaline Trio,Music,Rock,Fillmore Auditorium (Denver),2018-10-12,80218,Denver,Colorado
47,Colorado Rockies vs. Arizona Diamondbacks,Sports,Baseball,Coors Field,2018-09-10,80205,Denver,Colorado
48,Colorado Rockies vs. Washington Nationals,Sports,Baseball,Coors Field,2018-09-30,80205,Denver,Colorado
