,event name,Classification,genre,venue,Date,Zip code,City,State
0,Kansas City Chiefs vs. San Francisco 49ers,Sports,Football,Arrowhead Stadium,2018-09-23,64129,Kansas City,Missouri
1,Kansas City Chiefs vs. Denver Broncos,Sports,Football,Arrowhead Stadium,2018-10-28,64129,Kansas City,Missouri
2,Kansas City Chiefs vs. Green Bay Packers,Sports,Football,Arrowhead Stadium,2018-08-30,64129,Kansas City,Missouri
3,Aubrey & The Three Migos Tour,Music,R&B,Sprint Center,2018-08-10,64106,Kansas City,Missouri
4,Kansas City Chiefs vs. Jacksonville Jaguars,Sports,Football,Arrowhead Stadium,2018-10-07,64129,Kansas City,Missouri
5,Panic! at the Disco w/ Two Feet,Music,Alternative,Sprint Center,2019-02-02,64106,Kansas City,Missouri
6,Maroon 5: Red Pill Blues Tour 2018,Music,Alternative,Sprint Center,2018-09-11,64106,Kansas City,Missouri
7,An Evening With Fleetwood Mac,Music,Rock,Sprint Center,2018-10-18,64106,Kansas City,Missouri
8,Kansas City Chiefs vs. Cincinnati Bengals,Sports,Football,Arrowhead Stadium,2018-10-21,64129,Kansas City,Missouri
9,Kansas City Chiefs vs. Oakland Raiders,Sports,Football,Arrowhead Stadium,2018-12-30,64129,Kansas City,Missouri
10,Kansas City Chiefs vs. Los Angeles Chargers,Sports,Football,Arrowhead Stadium,2018-12-13,64129,Kansas City,Missouri
11,Elton John,Music,Rock,Sprint Center,2019-02-13,64106,Kansas City,Missouri
12,Kansas City Chiefs vs. Houston Texans,Sports,Football,Arrowhead Stadium,2018-08-09,64129,Kansas City,Missouri
13,Justin Timberlake - The Man Of The Woods Tour,Music,Pop,Sprint Center,2018-12-10,64106,Kansas City,Missouri
14,Sam Smith,Music,Pop,Sprint Center,2018-08-18,64106,Kansas City,Missouri
15,Foo Fighters: Concrete And Gold Tour '18,Music,Alternative,Sprint Center,2018-10-12,64106,Kansas City,Missouri
16,Taylor Swift reputation Stadium Tour,Music,Rock,Arrowhead Stadium,2018-09-08,64129,Kansas City,Missouri
17,Kansas City Chiefs vs. Baltimore Ravens,Sports,Football,Arrowhead Stadium,2018-12-09,64129,Kansas City,Missouri
18,Metallica,Music,Rock,Sprint Center,2019-03-06,64106,Kansas City,Missouri
19,Shawn Mendes,Music,Pop,Sprint Center,2019-07-19,64106,Kansas City,Missouri
20,Ozuna,Music,Other,Sprint Center,2018-10-06,64106,Kansas City,Missouri
21,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Hip-Hop/Rap,Sprint Center,2018-11-21,64106,Kansas City,Missouri
22,The King Romeo Santos,Music,World,Sprint Center,2018-09-27,64106,Kansas City,Missouri
23,Fall Out Boy: The M A N I A Tour with Machine Gun Kelly,Music,Alternative,Sprint Center,2018-09-21,64106,Kansas City,Missouri
24,Ed Sheeran: 2018 North American Stadium Tour,Music,Pop,Arrowhead Stadium,2018-10-13,64129,Kansas City,Missouri
25,NICKIHNDRXX TOUR,Music,Hip-Hop/Rap,Sprint Center,2018-11-04,64106,Kansas City,Missouri
26,Kansas City Chiefs vs. Arizona Cardinals,Sports,Football,Arrowhead Stadium,2018-11-11,64129,Kansas City,Missouri
27,SiriusXM Pres. Goo Goo Dolls - Dizzy Up The Girl 20th Anniversary Tour,Music,Rock,Uptown Theater,2018-10-28,64111,Kansas City,Missouri
28,Scotty McCreery,Music,Country,Ameristar Casino and Hotel,2018-11-09,64161,Kansas City,Missouri
29,J. Cole: KOD Tour 2018,Music,Hip-Hop/Rap,Sprint Center,2018-09-18,64106,Kansas City,Missouri
30,Luke Bryan: What Makes You Country Tour 2018,Music,Country,Sprint Center,2018-08-26,64106,Kansas City,Missouri
31,Niall Horan: Flicker World Tour 2018,Music,Other,Starlight Theatre,2018-08-22,64132,Kansas City,Missouri
32,J Balvin Vibras Tour,Music,World,Sprint Center,2018-10-13,64106,Kansas City,Missouri
33,Café Tacvba,Music,World,Uptown Theater,2018-10-05,64111,Kansas City,Missouri
34,American Idol: Live! 2018,Music,Pop,Uptown Theater,2018-08-09,64111,Kansas City,Missouri
35,Børns,Music,Rock,Uptown Theater,2018-10-03,64111,Kansas City,Missouri
36,Bill Maher,Arts & Theatre,Comedy,Music Hall Kansas City,2018-08-26,64105,Kansas City,Missouri
37,Marvel Universe LIVE! Age of Heroes,Arts & Theatre,Miscellaneous,Sprint Center,2018-09-14,64106,Kansas City,Missouri
38,Marvel Universe LIVE! Age of Heroes,Arts & Theatre,Miscellaneous,Sprint Center,2018-09-15,64106,Kansas City,Missouri
39,The Temptations,Music,R&B,Ameristar Casino and Hotel,2018-08-11,64161,Kansas City,Missouri
40,Counting Crows with special guest +LIVE+: 25 Years and Counting,Music,Alternative,Starlight Theatre,2018-09-11,64132,Kansas City,Missouri
41,2018 Honda Civic Tour presents Charlie Puth Voicenotes,Music,Other,Starlight Theatre,2018-08-09,64132,Kansas City,Missouri
42,Marvel Universe LIVE! Age of Heroes,Arts & Theatre,Miscellaneous,Sprint Center,2018-09-15,64106,Kansas City,Missouri
43,Marvel Universe LIVE! Age of Heroes,Arts & Theatre,Miscellaneous,Sprint Center,2018-09-16,64106,Kansas City,Missouri
44,"Gary Clark, Jr.",Music,Blues,Uptown Theater,2018-11-06,64111,Kansas City,Missouri
45,Billy Idol,Music,Rock,Uptown Theater,2018-09-21,64111,Kansas City,Missouri
46,Marvel Universe LIVE! Age of Heroes,Arts & Theatre,Miscellaneous,Sprint Center,2018-09-16,64106,Kansas City,Missouri
47,Marvel Universe LIVE! Age of Heroes,Arts & Theatre,Miscellaneous,Sprint Center,2018-09-15,64106,Kansas City,Missouri
48,Gordon Lightfoot,Music,Rock,Uptown Theater,2018-09-28,64111,Kansas City,Missouri
49,Snow Patrol,Music,Rock,VooDoo Lounge at Harrah's Casino North Kansas City,2018-10-12,64116,Kansas City,Missouri
50,Josh Turner,Music,Country,Uptown Theater,2018-11-16,64111,Kansas City,Missouri
51,Keb' Mo' Band,Music,Blues,Uptown Theater,2018-09-27,64111,Kansas City,Missouri
52,Cody Johnson,Music,Rock,Uptown Theater,2018-09-08,64111,Kansas City,Missouri
53,Carlos Mencia,Arts & Theatre,Comedy,Ameristar Casino and Hotel,2018-09-07,64161,Kansas City,Missouri
54,98° at Christmas 2018,Music,R&B,Ameristar Casino and Hotel,2018-11-30,64161,Kansas City,Missouri
55,The Oak Ridge Boys,Music,Country,Ameristar Casino and Hotel,2018-09-29,64161,Kansas City,Missouri
56,Keith Urban w/ Kelsea Ballerini,Music,Country,Sprint Center,2018-08-17,64106,Kansas City,Missouri
57,Bullet for My Valentine,Music,Rock,VooDoo Lounge at Harrah's Casino North Kansas City,2018-09-13,64116,Kansas City,Missouri
58,Los Tigres del Norte w/ Alejandro Fernandez,Music,World,Sprint Center,2018-11-17,64106,Kansas City,Missouri
59,NEEDTOBREATHE: Forever On Your Side Tour with special guest JOHNNYSWIM,Music,Alternative,Starlight Theatre,2018-09-09,64132,Kansas City,Missouri
60,Tower of Power,Music,R&B,Ameristar Casino and Hotel,2018-08-25,64161,Kansas City,Missouri
61,Lita Ford,Music,Rock,VooDoo Lounge at Harrah's Casino North Kansas City,2018-08-17,64116,Kansas City,Missouri
62,The King Romeo Santos,Music,World,Sprint Center,2018-09-27,64106,Kansas City,Missouri
63,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,Sprint Center,2018-12-10,64106,Kansas City,Missouri
64,Father John Misty,Music,Rock,Uptown Theater,2018-08-17,64111,Kansas City,Missouri
65,Ben Rector - Magic: The Tour,Music,Rock,Uptown Theater,2018-11-08,64111,Kansas City,Missouri
66,An Evening With Fleetwood Mac,Music,Rock,Sprint Center,2018-10-18,64106,Kansas City,Missouri
67,Mix 93.3 presents Sting & Shaggy - The 44/876 Tour,Music,Pop,Arvest Bank Theatre at The Midland,2018-10-04,64105,Kansas City,Missouri
68,Ben Howard,Music,Rock,Uptown Theater,2018-10-02,64111,Kansas City,Missouri
69,Monster Energy Outbreak Tour Presents: Lil Xan - Total Xanarchy,Music,Hip-Hop/Rap,Uptown Theater,2018-11-04,64111,Kansas City,Missouri
70,Maroon 5: Red Pill Blues Tour 2018,Music,Rock,Sprint Center,2018-09-11,64106,Kansas City,Missouri
71,Maxwell,Music,R&B,Arvest Bank Theatre at The Midland,2018-11-14,64105,Kansas City,Missouri
72,Rick Springfield,Music,Rock,Ameristar Casino and Hotel,2018-10-27,64161,Kansas City,Missouri
73,Rod Stewart,Music,Pop,Sprint Center,2018-08-14,64106,Kansas City,Missouri
74,Lauren Daigle,Music,Other,Arvest Bank Theatre at The Midland,2019-03-01,64105,Kansas City,Missouri
75,Bret Michaels,Music,Rock,Ameristar Casino and Hotel,2018-09-15,64161,Kansas City,Missouri
76,Lynyrd Skynyrd:  Last Of The Street Survivors Farewell Tour,Music,Rock,Sprint Center,2018-11-02,64106,Kansas City,Missouri
77,Metallica,Music,Metal,Sprint Center,2019-03-06,64106,Kansas City,Missouri
78,Little River Band,Music,Rock,Uptown Theater,2018-11-09,64111,Kansas City,Missouri
79,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Rock,Sprint Center,2018-11-21,64106,Kansas City,Missouri
80,Andy Grammer,Music,Rock,Ameristar Casino and Hotel,2018-10-06,64161,Kansas City,Missouri
81,16th Annual KPRS White Linen Party Featuring Leela James,Music,R&B,VooDoo Lounge at Harrah's Casino North Kansas City,2018-09-02,64116,Kansas City,Missouri
82,Fall Out Boy: The M A N I A Tour with Machine Gun Kelly,Music,Rock,Sprint Center,2018-09-21,64106,Kansas City,Missouri
83,Lo-Key?,Music,Hip-Hop/Rap,VooDoo Lounge at Harrah's Casino North Kansas City,2018-08-11,64116,Kansas City,Missouri
84,"The Cause Conference: November 02-03, 2018",Miscellaneous,Community/Civic,Music Hall Kansas City,2018-11-03,64105,Kansas City,Missouri
85,The Clairvoyants,Arts & Theatre,Magic & Illusion,Ameristar Casino and Hotel,2018-09-22,64161,Kansas City,Missouri
86,Hillsong Worship,Music,Other,Arvest Bank Theatre at The Midland,2018-10-18,64105,Kansas City,Missouri
87,Billy Joel,Music,Rock,Kauffman Stadium,2018-09-21,64129,Kansas City,Missouri
88,Billy Joel,Music,Rock,Kauffman Stadium,2018-09-21,64129,Kansas City,Missouri
89,The Smashing Pumpkins: Shiny And Oh So Bright Tour,Music,Alternative,Sprint Center,2018-08-16,64106,Kansas City,Missouri
90,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,Sprint Center,2018-08-10,64106,Kansas City,Missouri
91,Single Day Pass HOLIDAY MART Ticket Valid Any Single Day Oct. 18-21,Miscellaneous,Hobby/Special Interest Expos,Bartle Hall,2018-10-18,64105,Kansas City,Missouri
