,event name,Classification,genre,venue,Date,Zip code,City,State
0,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,Music,Pop,T-Mobile Arena,2019-04-12,89158,Las Vegas,Nevada
1,Shakira - EL Dorado World Tour,Music,World,MGM Grand Garden Arena,2018-09-01,89109,Las Vegas,Nevada
2,Ozzy Osbourne: No More Tours 2,Music,Rock,MGM Grand Garden Arena,2018-10-13,89109,Las Vegas,Nevada
3,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-08-11,89109,Las Vegas,Nevada
4,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-10-27,89103,Las Vegas,Nevada
5,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-10-26,89103,Las Vegas,Nevada
6,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-11-17,89103,Las Vegas,Nevada
7,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-08-08,89109,Las Vegas,Nevada
8,Aubrey And The Three Amigos Tour,Music,R&B,MGM Grand Garden Arena,2018-10-06,89109,Las Vegas,Nevada
9,Zac Brown Band: Down the Rabbit Hole Live!,Music,Country,Pearl Concert Theater at Palms Casino Resort,2018-09-21,89103,Las Vegas,Nevada
10,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-08-10,89109,Las Vegas,Nevada
11,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-08-04,89109,Las Vegas,Nevada
12,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-11-03,89103,Las Vegas,Nevada
13,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-11-10,89103,Las Vegas,Nevada
14,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-11-02,89103,Las Vegas,Nevada
15,Luis Miguel: México Por Siempre,Music,World,The Colosseum at Caesars Palace,2018-09-14,89109,Las Vegas,Nevada
16,Aubrey And The Three Amigos Tour,Music,R&B,MGM Grand Garden Arena,2018-10-05,89109,Las Vegas,Nevada
17,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-11-09,89103,Las Vegas,Nevada
18,Cher,Music,Rock,Park Theater,2018-11-03,89109,Las Vegas,Nevada
19,Blink 182 - Kings Of The Weekend,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-11-16,89103,Las Vegas,Nevada
20,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-10-26,89109,Las Vegas,Nevada
21,Luis Miguel: México Por Siempre,Music,World,The Colosseum at Caesars Palace,2018-09-13,89109,Las Vegas,Nevada
22,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-03,89109,Las Vegas,Nevada
23,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-10-27,89109,Las Vegas,Nevada
24,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-17,89109,Las Vegas,Nevada
25,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-10-24,89109,Las Vegas,Nevada
26,Maxwell: 50 Intimate Nights Live,Music,R&B,Pearl Concert Theater at Palms Casino Resort,2018-11-04,89103,Las Vegas,Nevada
27,Ozuna,Music,Other,Mandalay Bay Events Center,2018-11-16,89119,Las Vegas,Nevada
28,Cher,Music,Rock,Park Theater,2018-11-17,89109,Las Vegas,Nevada
29,Cher,Music,Rock,Park Theater,2018-10-31,89109,Las Vegas,Nevada
30,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-10,89109,Las Vegas,Nevada
31,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-27,89109,Las Vegas,Nevada
32,Cher,Music,Rock,Park Theater,2018-11-07,89109,Las Vegas,Nevada
33,Cher,Music,Rock,Park Theater,2018-11-10,89109,Las Vegas,Nevada
34,Cher,Music,Rock,Park Theater,2018-11-09,89109,Las Vegas,Nevada
35,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-16,89109,Las Vegas,Nevada
36,Cher,Music,Rock,Park Theater,2018-11-02,89109,Las Vegas,Nevada
37,Phish,Music,Blues,MGM Grand Garden Arena,2018-10-31,89109,Las Vegas,Nevada
38,Cher,Music,Rock,Park Theater,2018-11-16,89109,Las Vegas,Nevada
39,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-07,89109,Las Vegas,Nevada
40,Metallica - WorldWired Tour,Music,Rock,T-Mobile Arena,2018-11-26,89158,Las Vegas,Nevada
41,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-10-31,89109,Las Vegas,Nevada
42,Rod Stewart: The Hits.,Music,Rock,The Colosseum at Caesars Palace,2018-11-21,89109,Las Vegas,Nevada
43,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-09,89109,Las Vegas,Nevada
44,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-14,89109,Las Vegas,Nevada
45,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-09,89109,Las Vegas,Nevada
46,Cher,Music,Rock,Park Theater,2018-11-14,89109,Las Vegas,Nevada
47,Rod Stewart: The Hits.,Music,Rock,The Colosseum at Caesars Palace,2018-12-02,89109,Las Vegas,Nevada
48,Rod Stewart: The Hits.,Music,Rock,The Colosseum at Caesars Palace,2018-11-24,89109,Las Vegas,Nevada
49,Rod Stewart: The Hits.,Music,Rock,The Colosseum at Caesars Palace,2018-11-23,89109,Las Vegas,Nevada
50,Rod Stewart: The Hits.,Music,Rock,The Colosseum at Caesars Palace,2018-11-28,89109,Las Vegas,Nevada
51,Florida Georgia Line - Las Vegas with Special Guest Mason Ramsey,Music,Country,Zappos Theater at Planet Hollywood,2018-12-01,89109,Las Vegas,Nevada
52,Florida Georgia Line - Las Vegas with Special Guest Mason Ramsey,Music,Country,Zappos Theater at Planet Hollywood,2018-12-08,89109,Las Vegas,Nevada
53,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-02,89109,Las Vegas,Nevada
54,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-29,89109,Las Vegas,Nevada
55,An Evening With KORN: Follow The Leader 20th Anniversary #FTL20,Music,Rock,Pearl Concert Theater at Palms Casino Resort,2018-09-15,89103,Las Vegas,Nevada
56,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-16,89109,Las Vegas,Nevada
57,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-13,89109,Las Vegas,Nevada
58,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-20,89109,Las Vegas,Nevada
59,Ella Mai,Music,R&B,Vinyl at Hard Rock Hotel & Casino Las Vegas,2018-08-23,89169,Las Vegas,Nevada
60,Lenny Kravitz - Raise Vibration Tour,Music,Rock,The Cosmopolitan of Las Vegas,2018-10-06,89109,Las Vegas,Nevada
61,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-23,89109,Las Vegas,Nevada
62,Rod Stewart: The Hits.,Music,Rock,The Colosseum at Caesars Palace,2018-12-01,89109,Las Vegas,Nevada
63,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-26,89109,Las Vegas,Nevada
64,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-08,89109,Las Vegas,Nevada
65,An Evening With Fleetwood Mac.,Music,Rock,T-Mobile Arena,2018-11-30,89158,Las Vegas,Nevada
66,Fall Out Boy: The M A N I A Tour with Machine Gun Kelly,Music,Alternative,MGM Grand Garden Arena,2018-09-28,89109,Las Vegas,Nevada
67,"The Stevie Wonder Song Party: A Celebration of Life, Love and Music",Music,Rock,Park Theater,2018-08-04,89109,Las Vegas,Nevada
68,NICKIHNDRXX TOUR,Music,Hip-Hop/Rap,MGM Grand Garden Arena,2018-11-24,89109,Las Vegas,Nevada
69,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-08,89109,Las Vegas,Nevada
70,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-13,89109,Las Vegas,Nevada
71,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-06,89109,Las Vegas,Nevada
72,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-10,89109,Las Vegas,Nevada
73,George Strait,Music,Country,T-Mobile Arena,2018-12-07,89158,Las Vegas,Nevada
74,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-14,89109,Las Vegas,Nevada
75,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-15,89109,Las Vegas,Nevada
76,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-22,89109,Las Vegas,Nevada
77,"The Stevie Wonder Song Party: A Celebration of Life, Love and Music",Music,Rock,Park Theater,2018-08-08,89109,Las Vegas,Nevada
78,Florida Georgia Line - Las Vegas with Special Guest Mason Ramsey,Music,Country,Zappos Theater at Planet Hollywood,2018-12-07,89109,Las Vegas,Nevada
79,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-19,89109,Las Vegas,Nevada
80,"The Stevie Wonder Song Party: A Celebration of Life, Love and Music",Music,Rock,Park Theater,2018-08-10,89109,Las Vegas,Nevada
81,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2018-11-02,89109,Las Vegas,Nevada
82,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-24,89109,Las Vegas,Nevada
83,Jimmy Buffett & The Coral Reefer Band with special guest Boz Scaggs,Music,Rock,MGM Grand Garden Arena,2018-10-20,89109,Las Vegas,Nevada
84,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-05,89109,Las Vegas,Nevada
85,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-12,89109,Las Vegas,Nevada
86,Dua Lipa,Music,Rock,The Cosmopolitan of Las Vegas,2018-09-27,89109,Las Vegas,Nevada
87,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-02-20,89109,Las Vegas,Nevada
88,Florida Georgia Line - Las Vegas with Special Guest Mason Ramsey,Music,Country,Zappos Theater at Planet Hollywood,2018-12-05,89109,Las Vegas,Nevada
89,Willie Nelson & Family,Music,Country,The Cosmopolitan of Las Vegas,2018-10-19,89109,Las Vegas,Nevada
90,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-07,89109,Las Vegas,Nevada
91,Backstreet Boys: Larger Than Life,Music,Rock,Zappos Theater at Planet Hollywood,2019-04-17,89109,Las Vegas,Nevada
92,Andrea Bocelli,Music,Classical,MGM Grand Garden Arena,2018-12-01,89109,Las Vegas,Nevada
93,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,Music,Rock,T-Mobile Arena,2019-04-12,89158,Las Vegas,Nevada
94,Christina Aguilera: The Liberation Tour,Music,Pop,The Colosseum at Caesars Palace,2018-10-27,89109,Las Vegas,Nevada
95,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-15,89109,Las Vegas,Nevada
96,Jennifer Lopez - All I Have,Music,World,Zappos Theater at Planet Hollywood,2018-09-19,89109,Las Vegas,Nevada
