,event name,Classification,genre,venue,Date,Zip code,City,State
0,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,FedExForum,2019-01-12,38103,Memphis,Tennessee
1,Lauren Daigle Look Up Child Tour,Music,Religious,The Orpheum Theatre Memphis,2018-09-30,38103,Memphis,Tennessee
2,Maxwell: 50 Intimate Nights,Music,R&B,The Orpheum Theatre Memphis,2018-10-25,38103,Memphis,Tennessee
3,NF - Perception Tour,Music,Hip-Hop/Rap,Mud Island Amphitheatre,2018-10-28,38103,Memphis,Tennessee
4,NICKIHNDRXX TOUR,Music,Hip-Hop/Rap,FedExForum,2018-10-23,38103,Memphis,Tennessee
5,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-08,38103,Memphis,Tennessee
6,Marilyn Manson,Music,Rock,Cannon Center for the Performing Arts,2018-10-25,38103,Memphis,Tennessee
7,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-08,38103,Memphis,Tennessee
8,A Paranormal Evening With Alice Cooper,Music,Rock,The Orpheum Theatre Memphis,2018-10-19,38103,Memphis,Tennessee
9,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-06,38103,Memphis,Tennessee
10,Nine Inch Nails: Cold and Black and Infinite North America 2018,Music,Rock,The Orpheum Theatre Memphis,2018-09-24,38103,Memphis,Tennessee
11,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-09,38103,Memphis,Tennessee
12,Joe Bonamassa,Music,Blues,The Orpheum Theatre Memphis,2018-11-14,38103,Memphis,Tennessee
13,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-07,38103,Memphis,Tennessee
14,NEEDTOBREATHE: Forever On Your Side Tour with special guest JOHNNYSWIM,Music,Rock,Mud Island Amphitheatre,2018-08-12,38103,Memphis,Tennessee
15,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-08,38103,Memphis,Tennessee
16,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-09,38103,Memphis,Tennessee
17,Mannheim Steamroller Christmas,Music,New Age,The Orpheum Theatre Memphis,2018-12-16,38103,Memphis,Tennessee
18,Steve Martin & Martin Short,Arts & Theatre,Comedy,The Orpheum Theatre Memphis,2018-09-29,38103,Memphis,Tennessee
19,Drew & Ellie Holcomb's Neighborly Christmas,Music,Rock,The Orpheum Theatre Memphis,2018-12-21,38103,Memphis,Tennessee
20,Disney On Ice presents Frozen,Miscellaneous,Ice Shows,FedExForum,2018-09-07,38103,Memphis,Tennessee
21,Iron & Wine,Music,Rock,The Orpheum Theatre Memphis,2018-11-17,38103,Memphis,Tennessee
22,Miranda Sings,Arts & Theatre,Comedy,The Orpheum Theatre Memphis,2018-08-12,38103,Memphis,Tennessee
23,Panic! At the Disco: Pray for the Wicked Tour with Two Feet,Music,Rock,FedExForum,2019-02-06,38103,Memphis,Tennessee
24,Home Free,Music,Country,Cannon Center for the Performing Arts,2018-12-28,38103,Memphis,Tennessee
25,NICK CANNON PRESENTS: WILD 'N OUT LIVE,Arts & Theatre,Comedy,FedExForum,2018-09-22,38103,Memphis,Tennessee
26,Band of Horses,Music,Rock,The Orpheum Theatre Memphis,2018-08-05,38103,Memphis,Tennessee
27,Celtic Thunder X Tour,Music,World,The Orpheum Theatre Memphis,2018-10-20,38103,Memphis,Tennessee
28,PAW Patrol Live!: Race to the Rescue,Arts & Theatre,Children's Theatre,Cannon Center for the Performing Arts,2018-11-20,38103,Memphis,Tennessee
29,Harry Potter and the Sorcerer's Stone in Concert,Music,Other,The Orpheum Theatre Memphis,2018-10-06,38103,Memphis,Tennessee
30,PAW Patrol Live!: Race to the Rescue,Arts & Theatre,Children's Theatre,Cannon Center for the Performing Arts,2018-11-21,38103,Memphis,Tennessee
31,John Prine,Music,Rock,The Orpheum Theatre Memphis,2018-09-15,38103,Memphis,Tennessee
32,Social Distortion,Music,Rock,Minglewood Hall,2018-10-23,38104,Memphis,Tennessee
33,The Temptations & the Four Tops,Music,R&B,The Orpheum Theatre Memphis,2018-10-03,38103,Memphis,Tennessee
34,Ben Rector - Magic: The Tour,Music,Rock,The Orpheum Theatre Memphis,2018-09-19,38103,Memphis,Tennessee
35,Big and Rich,Music,Country,Live at the Garden - Memphis Botanic Garden,2018-09-07,38117,Memphis,Tennessee
36,Steel Magnolias,Film,Drama,The Orpheum Theatre Memphis,2018-08-10,38103,Memphis,Tennessee
37,PAW Patrol Live!: Race to the Rescue,Arts & Theatre,Children's Theatre,Cannon Center for the Performing Arts,2018-11-21,38103,Memphis,Tennessee
38,Harry Potter and the Sorcerer's Stone in Concert,Music,Other,The Orpheum Theatre Memphis,2018-10-07,38103,Memphis,Tennessee
39,Firefly Glow Party At The Garden,Miscellaneous,Family,Memphis Botanic Garden,2018-08-10,38117,Memphis,Tennessee
40,Elvis Costello & the Imposters,Music,Rock,The Orpheum Theatre Memphis,2018-11-19,38103,Memphis,Tennessee
41,Riley Green,Music,Country,Minglewood Hall,2018-08-11,38104,Memphis,Tennessee
42,Southern Heritage Classic : Tailgating Packages,Sports,Football,Liberty Bowl Stadium,2018-09-08,38104,Memphis,Tennessee
43,Southern Heritage Classic - Jackson State v Tennessee State,Sports,Football,Liberty Bowl Stadium,2018-09-08,38104,Memphis,Tennessee
44,Ben Harper & Charlie Musselwhite,Music,Blues,The Orpheum Theatre Memphis,2018-09-11,38103,Memphis,Tennessee
45,Scott Bradlee's Postmodern Jukebox,Music,Undefined,The Orpheum Theatre Memphis,2018-11-16,38103,Memphis,Tennessee
46,Love & Basketball,Film,Drama,The Orpheum Theatre Memphis,2018-08-17,38103,Memphis,Tennessee
47,Cody Ray Slaughter Live in Memphis for the People,Music,Rock,Halloran Centre at the Orpheum Theatre Memphis,2018-08-13,38103,Memphis,Tennessee
48,Miss Dee's Kitchen Stage Play,Arts & Theatre,Theatre,Cannon Center for the Performing Arts,2018-08-18,38103,Memphis,Tennessee
49,Rocky Horror Picture Show,Film,Comedy,The Orpheum Theatre Memphis,2018-08-24,38103,Memphis,Tennessee
50,The Rainbow Fish,Arts & Theatre,Children's Theatre,The Orpheum Theatre Memphis,2019-03-09,38103,Memphis,Tennessee
51,Gary Clark Jr.,Music,Blues,Minglewood Hall,2018-11-01,38104,Memphis,Tennessee
52,Rodney Crowell,Music,Country,Halloran Centre at the Orpheum Theatre Memphis,2018-08-18,38103,Memphis,Tennessee
53,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-08,38103,Memphis,Tennessee
54,Cinderella,Film,Family,The Orpheum Theatre Memphis,2018-08-18,38103,Memphis,Tennessee
55,The Mersey Beatles,Music,Rock,Halloran Centre at the Orpheum Theatre Memphis,2018-10-10,38103,Memphis,Tennessee
56,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-08,38103,Memphis,Tennessee
57,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-07,38103,Memphis,Tennessee
58,Kirk Whalum,Music,Jazz,Halloran Centre at the Orpheum Theatre Memphis,2018-10-07,38103,Memphis,Tennessee
59,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-04,38103,Memphis,Tennessee
60,Jim Brickman,Music,Pop,Halloran Centre at the Orpheum Theatre Memphis,2019-02-02,38103,Memphis,Tennessee
61,3 Kings,Music,Undefined,Halloran Centre at the Orpheum Theatre Memphis,2018-08-11,38103,Memphis,Tennessee
62,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-09,38103,Memphis,Tennessee
63,Kirk Whalum,Music,Jazz,Halloran Centre at the Orpheum Theatre Memphis,2018-12-02,38103,Memphis,Tennessee
64,Dennis Quaid,Music,Rock,Halloran Centre at the Orpheum Theatre Memphis,2018-09-29,38103,Memphis,Tennessee
65,Elvis Ultimate Gospel,Music,Undefined,Halloran Centre at the Orpheum Theatre Memphis,2018-08-12,38103,Memphis,Tennessee
66,'68 Miles To Vegas,Music,Undefined,Halloran Centre at the Orpheum Theatre Memphis,2018-08-14,38103,Memphis,Tennessee
67,Remembering The King starring Jacob Roman and Bill Cherry,Music,Undefined,Halloran Centre at the Orpheum Theatre Memphis,2018-08-10,38103,Memphis,Tennessee
68,Elvis: Hollywood To Vegas,Music,Undefined,Halloran Centre at the Orpheum Theatre Memphis,2018-08-13,38103,Memphis,Tennessee
69,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-06,38103,Memphis,Tennessee
70,Rhonda Vincent and the Rage,Music,Folk,Halloran Centre at the Orpheum Theatre Memphis,2018-09-07,38103,Memphis,Tennessee
71,Dougie MacLean,Music,Folk,Halloran Centre at the Orpheum Theatre Memphis,2018-10-12,38103,Memphis,Tennessee
72,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-09,38103,Memphis,Tennessee
73,Andrew Lloyd Webber's LOVE NEVER DIES - The Phantom Returns (Touring),Arts & Theatre,Theatre,The Orpheum Theatre Memphis,2018-09-05,38103,Memphis,Tennessee
74,Sisters United,Music,R&B,The Orpheum Theatre Memphis,2018-09-18,38103,Memphis,Tennessee
75,LeCrae w/ Andy Mineo,Music,Other,Minglewood Hall,2018-10-24,38104,Memphis,Tennessee
76,Story Pirates,Arts & Theatre,Children's Theatre,Halloran Centre at the Orpheum Theatre Memphis,2018-10-27,38103,Memphis,Tennessee
77,NEEDTOBREATHE - Upgrade Meet & Greet Packages,Music,Rock,Mud Island Amphitheatre,2018-08-12,38103,Memphis,Tennessee
78,UCF Knights Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-10-13,38104,Memphis,Tennessee
79,Bettye LaVette,Music,R&B,Halloran Centre at the Orpheum Theatre Memphis,2018-11-03,38103,Memphis,Tennessee
80,Mat Kearney,Music,Other,New Daisy Theatre,2018-09-12,38103,Memphis,Tennessee
81,Music Of The Knights,Music,Other,Halloran Centre at the Orpheum Theatre Memphis,2018-11-30,38103,Memphis,Tennessee
82,Mercer Bears Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-09-01,38104,Memphis,Tennessee
83,Moscow Ballet's Great Russian Nutcracker,Arts & Theatre,Dance,Cannon Center for the Performing Arts,2018-11-29,38103,Memphis,Tennessee
84,Jroqsol Presents: Retention Live Album Release Concert,Music,R&B,Halloran Centre at the Orpheum Theatre Memphis,2018-11-02,38103,Memphis,Tennessee
85,AutoZone Liberty Bowl,Sports,Football,Liberty Bowl Stadium,2018-12-31,38104,Memphis,Tennessee
86,Aint Misbehavin,Arts & Theatre,Theatre,Halloran Centre at the Orpheum Theatre Memphis,2018-11-17,38103,Memphis,Tennessee
87,Whiskey Myers,Music,Other,Minglewood Hall,2018-10-04,38104,Memphis,Tennessee
88,Aint Misbehavin,Arts & Theatre,Theatre,Halloran Centre at the Orpheum Theatre Memphis,2018-11-17,38103,Memphis,Tennessee
89,Gilbert And Sullivan Players,Arts & Theatre,Theatre,Halloran Centre at the Orpheum Theatre Memphis,2019-03-30,38103,Memphis,Tennessee
90,The Crucible,Arts & Theatre,Theatre,Halloran Centre at the Orpheum Theatre Memphis,2019-02-16,38103,Memphis,Tennessee
91,"Botanical Bars-Ciders, Brews, & Boos at the Garden",Miscellaneous,Family,Memphis Botanic Garden,2018-10-25,38117,Memphis,Tennessee
92,Dust Bowl Revival,Music,Folk,Halloran Centre at the Orpheum Theatre Memphis,2019-03-02,38103,Memphis,Tennessee
93,Mary Wilson,Music,Rock,Halloran Centre at the Orpheum Theatre Memphis,2019-01-26,38103,Memphis,Tennessee
94,Carlene Carter,Music,Country,Halloran Centre at the Orpheum Theatre Memphis,2019-04-13,38103,Memphis,Tennessee
95,It's a Plant Party at the Garden,Miscellaneous,Family,Memphis Botanic Garden,2018-08-23,38117,Memphis,Tennessee
96,Infinitus,Arts & Theatre,Children's Theatre,Halloran Centre at the Orpheum Theatre Memphis,2018-11-17,38103,Memphis,Tennessee
97,"I,Too, Am America",Arts & Theatre,Children's Theatre,Halloran Centre at the Orpheum Theatre Memphis,2019-02-09,38103,Memphis,Tennessee
98,Kirk Whalum,Music,Jazz,Halloran Centre at the Orpheum Theatre Memphis,2019-04-07,38103,Memphis,Tennessee
99,Benise,Music,World,Halloran Centre at the Orpheum Theatre Memphis,2019-03-16,38103,Memphis,Tennessee
100,"Impractical Jokers ""The Cranjis McBasketball World Comedy Tour""",Arts & Theatre,Comedy,FedExForum,2019-03-28,38103,Memphis,Tennessee
101,The Crucible,Arts & Theatre,Theatre,Halloran Centre at the Orpheum Theatre Memphis,2019-02-16,38103,Memphis,Tennessee
102,Todd Rundgren,Music,Rock,New Daisy Theatre,2018-09-17,38103,Memphis,Tennessee
103,Kirk Whalum,Music,Jazz,Halloran Centre at the Orpheum Theatre Memphis,2019-02-10,38103,Memphis,Tennessee
104,Botanical Bars-Asian Aperitifs at the Garden,Miscellaneous,Family,Memphis Botanic Garden,2018-09-27,38117,Memphis,Tennessee
105,Benise,Music,World,Halloran Centre at the Orpheum Theatre Memphis,2019-03-16,38103,Memphis,Tennessee
106,Orbert Davis,Music,Jazz,Halloran Centre at the Orpheum Theatre Memphis,2019-04-27,38103,Memphis,Tennessee
107,Healy,Music,Other,Hi-Tone Cafe,2018-08-11,38104,Memphis,Tennessee
