,event name,Classification,genre,venue,Date,Zip code,City,State
0,Ozuna,Music,World,AmericanAirlines Arena,2018-09-08,33132,Miami,Florida
1,Marc Anthony,Music,World,AmericanAirlines Arena,2018-11-16,33132,Miami,Florida
2,NICK CANNON PRESENTS: WILD 'N OUT LIVE,Arts & Theatre,Comedy,AmericanAirlines Arena,2018-09-14,33132,Miami,Florida
3,Shakira - EL Dorado World Tour,Music,World,AmericanAirlines Arena,2018-08-17,33132,Miami,Florida
4,Kevin Hart: The Irresponsible Tour,Arts & Theatre,Comedy,AmericanAirlines Arena,2018-10-13,33132,Miami,Florida
5,Shakira - EL Dorado World Tour,Music,World,AmericanAirlines Arena,2018-08-18,33132,Miami,Florida
6,SHAWN MENDES: THE TOUR,Music,Rock,AmericanAirlines Arena,2019-07-28,33132,Miami,Florida
7,JAY-Z and BEYONCÉ - OTR II,Music,Hip-Hop/Rap,Hard Rock Stadium,2018-08-31,33056,Miami,Florida
8,The King Romeo Santos,Music,World,AmericanAirlines Arena,2018-10-11,33132,Miami,Florida
9,New England Patriots v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-12-09,33056,Miami,Florida
10,Oakland Raiders v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-09-23,33056,Miami,Florida
11,Chicago Bears v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-10-14,33056,Miami,Florida
12,Tampa Bay Buccaneers v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-08-09,33056,Miami,Florida
13,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,AmericanAirlines Arena,2018-09-21,33132,Miami,Florida
14,Elton John: Farewell Yellow Brick Road,Music,Rock,AmericanAirlines Arena,2018-11-24,33132,Miami,Florida
15,Detroit Lions v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-10-21,33056,Miami,Florida
16,Tennessee Titans v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-09-09,33056,Miami,Florida
17,Carlos Vives,Music,World,AmericanAirlines Arena,2018-09-15,33132,Miami,Florida
18,Janet Jackson: State of the World Tour,Music,Rock,AmericanAirlines Arena,2018-08-05,33132,Miami,Florida
19,New York Jets v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-11-04,33056,Miami,Florida
20,Baltimore Ravens v Miami Dolphins,Sports,Football,Hard Rock Stadium,2018-08-25,33056,Miami,Florida
21,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,AmericanAirlines Arena,2018-09-22,33132,Miami,Florida
22,Mac Miller: The Swimming Tour,Music,Hip-Hop/Rap,Bayfront Park Amphitheater,2018-11-17,33132,Miami,Florida
23,Florida State Seminoles Football at Miami Hurricanes Football,Sports,Football,Hard Rock Stadium,2018-10-06,33056,Miami,Florida
