,event name,Classification,genre,venue,Date,Zip code,City,State
0,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,Music,Rock,Fiserv Forum,2019-05-02,53203,Milwaukee,Wisconsin
1,Maroon 5: Red Pill Blues Tour 2018,Music,Rock,Fiserv Forum,2018-09-16,53203,Milwaukee,Wisconsin
2,Kevin Hart: The Irresponsible Tour,Arts & Theatre,Comedy,Fiserv Forum,2018-09-13,53203,Milwaukee,Wisconsin
3,Lady Antebellum & Darius Rucker Summer Plays On Tour,Music,Country,American Family Insurance Amphitheater-Summerfest,2018-09-01,53202,Milwaukee,Wisconsin
4,An Evening With Fleetwood Mac,Music,Rock,Fiserv Forum,2018-10-28,53203,Milwaukee,Wisconsin
5,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,Fiserv Forum,2018-09-21,53203,Milwaukee,Wisconsin
6,Metallica - WorldWired Tour,Music,Metal,Fiserv Forum,2018-10-16,53203,Milwaukee,Wisconsin
7,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Rock,Fiserv Forum,2018-10-20,53203,Milwaukee,Wisconsin
8,Elton John: Farewell Yellow Brick Road,Music,Rock,Fiserv Forum,2019-02-19,53203,Milwaukee,Wisconsin
9,Foo Fighters: Concrete And Gold Tour '18,Music,Rock,Fiserv Forum,2018-10-17,53203,Milwaukee,Wisconsin
10,Chris Young: Losing Sleep World Tour 2018,Music,Country,Fiserv Forum,2018-10-26,53203,Milwaukee,Wisconsin
11,Eagles,Music,Rock,Fiserv Forum,2018-10-18,53203,Milwaukee,Wisconsin
12,Bad Bunny,Music,Other,The Rave-Eagles Club,2018-09-29,53233,Milwaukee,Wisconsin
13,Jim Gaffigan: The Fixer Upper,Arts & Theatre,Comedy,Fiserv Forum,2018-09-22,53203,Milwaukee,Wisconsin
14,Ed Sheeran: 2018 North American Stadium Tour,Music,Pop,Miller Park,2018-10-23,53214,Milwaukee,Wisconsin
15,MercyMe,Music,Rock,Miller High Life Theatre,2018-10-05,53203,Milwaukee,Wisconsin
16,J Balvin Vibras Tour,Music,Hip-Hop/Rap,Fiserv Forum,2018-10-11,53203,Milwaukee,Wisconsin
17,Cole Swindell,Music,Country,Wisconsin State Fair,2018-08-08,53214,Milwaukee,Wisconsin
18,Leon Bridges: Good Thing Tour,Music,R&B,BMO Harris Pavilion,2018-09-23,53202,Milwaukee ,Wisconsin
19,CAKE & BEN FOLDS,Music,Rock,BMO Harris Pavilion,2018-08-23,53202,Milwaukee ,Wisconsin
20,Josh Groban: Bridges Tour w/ very special guest Idina Menzel,Music,Pop,Fiserv Forum,2018-11-03,53203,Milwaukee,Wisconsin
21,Panic! At the Disco: Pray for the Wicked Tour with Two Feet,Music,Rock,Fiserv Forum,2019-01-27,53203,Milwaukee,Wisconsin
22,Andre Rieu,Music,Classical,UW–Milwaukee Panther Arena ,2018-09-15,53203,Milwaukee,Wisconsin
23,NF,Music,Other,The Rave-Eagles Club,2018-10-05,53233,Milwaukee,Wisconsin
24,Reba McEntire,Music,Country,Wisconsin State Fair,2018-08-12,53214,Milwaukee,Wisconsin
25,"Impractical Jokers ""The Cranjis McBasketball World Comedy Tour""",Arts & Theatre,Comedy,Fiserv Forum,2018-11-18,53203,Milwaukee,Wisconsin
26,Jesús Adrián Romero,Music,Other,Miller High Life Theatre,2018-09-28,53203,Milwaukee,Wisconsin
27,Foreigner,Music,Rock,Wisconsin State Fair,2018-08-11,53214,Milwaukee,Wisconsin
28,LIT AF Tour Hosted By Martin Lawrence,Arts & Theatre,Comedy,UW–Milwaukee Panther Arena ,2018-11-03,53203,Milwaukee,Wisconsin
29,"RBRM: Ronnie, Bobby, Ricky & Mike",Music,R&B,Miller High Life Theatre,2018-09-13,53203,Milwaukee,Wisconsin
30,Mac Miller,Music,Hip-Hop/Rap,The Rave-Eagles Club,2018-11-30,53233,Milwaukee,Wisconsin
31,Asleep At the Wheel,Music,Country,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-24,53202,Milwaukee,Wisconsin
32,Blue Oyster Cult,Music,Rock,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-10-10,53202,Milwaukee,Wisconsin
33,Ringo Starr and His All Starr Band,Music,Pop,BMO Harris Pavilion,2018-09-08,53202,Milwaukee ,Wisconsin
34,The Avett Brothers,Music,Alternative,Riverside Theatre - WI,2018-08-11,53203,Milwaukee,Wisconsin
35,Boney James,Music,Jazz,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-11-15,53202,Milwaukee,Wisconsin
36,Troye Sivan: The Bloom Tour with special guest Kim Petras,Music,Pop,The Rave-Eagles Club,2018-10-20,53233,Milwaukee,Wisconsin
37,The Avett Brothers,Music,Alternative,Riverside Theatre - WI,2018-08-12,53203,Milwaukee,Wisconsin
38,Maxwell,Music,R&B,Riverside Theatre - WI,2018-11-20,53203,Milwaukee,Wisconsin
39,Rock of Ages (Touring),Arts & Theatre,Theatre,Miller High Life Theatre,2018-11-16,53203,Milwaukee,Wisconsin
40,Rodgers + Hammerstein's Cinderella (Touring),Arts & Theatre,Theatre,Miller High Life Theatre,2018-11-10,53203,Milwaukee,Wisconsin
41,25th PBR: Unleash the Beast ARIAT Invitational,Sports,Rodeo,Fiserv Forum,2018-10-06,53203,Milwaukee,Wisconsin
42,Thompson Twins' Tom Bailey,Music,Rock,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-08,53202,Milwaukee,Wisconsin
43,Rodgers + Hammerstein's Cinderella (Touring),Arts & Theatre,Theatre,Miller High Life Theatre,2018-11-11,53203,Milwaukee,Wisconsin
44,TLC,Music,Hip-Hop/Rap,Wisconsin State Fair,2018-08-10,53214,Milwaukee,Wisconsin
45,Justin Hayward - In Concert,Music,Rock,Wilson Theater at Vogel Hall,2018-08-28,53203,Milwaukee,Wisconsin
46,Boy George w/ Culture Club,Music,Alternative,Riverside Theatre - WI,2018-08-09,53203,Milwaukee,Wisconsin
47,Ignite The Community Concert,Music,Hip-Hop/Rap,Miller High Life Theatre,2018-08-18,53203,Milwaukee,Wisconsin
48,Mama Tried's Flat Out Friday Powered by Harley-Davidson,Sports,Motorsports/Racing,UW–Milwaukee Panther Arena ,2018-08-31,53203,Milwaukee,Wisconsin
49,The Greatest Love of All - the Whitney Houston Tribute Show,Arts & Theatre,Variety,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-13,53202,Milwaukee,Wisconsin
50,The Greatest Love of All - the Whitney Houston Tribute Show,Arts & Theatre,Variety,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-17,53202,Milwaukee,Wisconsin
51,Take Me To The River - New Orleans Live!,Music,Jazz,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-10-12,53202,Milwaukee,Wisconsin
52,The Greatest Love of All - the Whitney Houston Tribute Show,Arts & Theatre,Variety,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-14,53202,Milwaukee,Wisconsin
53,The Greatest Love of All - the Whitney Houston Tribute Show,Arts & Theatre,Variety,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-15,53202,Milwaukee,Wisconsin
54,The Greatest Love of All - the Whitney Houston Tribute Show,Arts & Theatre,Variety,Potawatomi Hotel & Casino/Northern Lights Theater/Event Center,2018-08-16,53202,Milwaukee,Wisconsin
