,event name,Classification,genre,venue,Date,Zip code,City,State
0,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,Music,Rock,Bridgestone Arena,2019-03-10,37203,Nashville,Tennessee
1,Bruno Mars: 24K Magic World Tour,Music,Rock,Bridgestone Arena,2018-10-08,37203,Nashville,Tennessee
2,Maroon 5: Red Pill Blues Tour 2018,Music,Rock,Bridgestone Arena,2018-09-23,37203,Nashville,Tennessee
3,An Evening With Fleetwood Mac,Music,Rock,Bridgestone Arena,2019-02-27,37203,Nashville,Tennessee
4,Tennessee Titans vs. Philadelphia Eagles,Sports,Football,Nissan Stadium,2018-09-30,37213,Nashville,Tennessee
5,Kevin Hart: The Irresponsible Tour,Arts & Theatre,Comedy,Bridgestone Arena,2018-10-06,37203,Nashville,Tennessee
6,Bruno Mars: 24K Magic World Tour,Music,Rock,Bridgestone Arena,2018-10-07,37203,Nashville,Tennessee
7,Tennessee Titans vs. New England Patriots,Sports,Football,Nissan Stadium,2018-11-11,37213,Nashville,Tennessee
8,SHAWN MENDES: THE TOUR,Music,Rock,Bridgestone Arena,2019-08-02,37203,Nashville,Tennessee
9,Elton John: Farewell Yellow Brick Road,Music,Rock,Bridgestone Arena,2018-10-24,37203,Nashville,Tennessee
10,Metallica - WorldWired Tour,Music,Metal,Bridgestone Arena,2019-01-24,37203,Nashville,Tennessee
11,Bad Bunny - La Nueva Religion Tour,Music,Hip-Hop/Rap,Bridgestone Arena,2018-09-30,37203,Nashville,Tennessee
12,Kid Rock Fish Fry,Music,Rock,Carl Black Chevy Woods Amphitheater at Fontanel,2018-10-05,37189,Nashville,Tennessee
13,Kid Rock Fish Fry,Music,Rock,Carl Black Chevy Woods Amphitheater at Fontanel,2018-10-06,37189,Nashville,Tennessee
14,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Rock,Bridgestone Arena,2018-10-16,37203,Nashville,Tennessee
15,Phish,Music,Rock,Ascend Amphitheater part of the Journeys Concert Series,2018-10-23,37203,Nashville,Tennessee
16,Phish,Music,Rock,Ascend Amphitheater part of the Journeys Concert Series,2018-10-24,37203,Nashville,Tennessee
