,event name,Classification,genre,venue,Date,Zip code,City,State
0,P!NK: BEAUTIFUL TRAUMA WORLD TOUR,Music,Rock,Smoothie King Center,2019-03-17,70113,New Orleans,Louisiana
1,JAY-Z and BEYONCÉ - OTR II,Music,Hip-Hop/Rap,Mercedes-Benz Superdome,2018-09-13,70112,New Orleans,Louisiana
2,Kevin Hart: The Irresponsible Tour,Arts & Theatre,Comedy,Smoothie King Center,2018-10-18,70113,New Orleans,Louisiana
3,An Evening With Fleetwood Mac,Music,Rock,Smoothie King Center,2019-02-16,70113,New Orleans,Louisiana
4,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,Smoothie King Center,2019-01-15,70113,New Orleans,Louisiana
5,Elton John: Farewell Yellow Brick Road,Music,Rock,Smoothie King Center,2018-12-06,70113,New Orleans,Louisiana
6,Live Nation Presents Journey / Def Leppard,Music,Rock,Smoothie King Center,2018-08-27,70113,New Orleans,Louisiana
7,Taylor Swift reputation Stadium Tour,Music,Rock,Mercedes-Benz Superdome,2018-09-22,70112,New Orleans,Louisiana
8,Lauren Daigle Look Up Child Tour,Music,Religious,Saenger Theatre New Orleans,2018-10-26,70112,New Orleans,Louisiana
9,Aubrey & The Three Migos Tour,Music,Hip-Hop/Rap,Smoothie King Center,2018-09-24,70113,New Orleans,Louisiana
10,Imagine Dragons: EVOLVE TOUR,Music,Rock,Smoothie King Center,2018-08-05,70113,New Orleans,Louisiana
11,Maxwell - 50 Intimate Nights Live,Music,R&B,Saenger Theatre New Orleans,2018-10-24,70112,New Orleans,Louisiana
12,Evanescence + Lindsey Stirling,Music,Rock,Bold Sphere Music at Champions Square,2018-08-22,70112,New Orleans,Louisiana
13,Mannheim Steamroller Christmas,Music,New Age,Saenger Theatre New Orleans,2018-12-15,70112,New Orleans,Louisiana
14,MercyMe: Imagine Nation Tour,Music,Rock,Smoothie King Center,2018-10-12,70113,New Orleans,Louisiana
15,Christina Aguilera: The Liberation Tour,Music,Pop,Saenger Theatre New Orleans,2018-11-09,70112,New Orleans,Louisiana
16,NICKIHNDRXX TOUR,Music,Hip-Hop/Rap,Smoothie King Center,2018-10-30,70113,New Orleans,Louisiana
17,Cole Swindell & Dustin Lynch: Reason To Drink Another Tour,Music,Country,Bold Sphere Music at Champions Square,2018-12-14,70112,New Orleans,Louisiana
18,Lil' WeezyAna Fest 2018,Music,Hip-Hop/Rap,Bold Sphere Music at Champions Square,2018-08-25,70112,New Orleans,Louisiana
19,TAMIA: Passion Like Fire Tour,Music,R&B,House of Blues New Orleans presented by Cricket Wireless,2018-10-13,70130,New Orleans,Louisiana
20,Nine Inch Nails: Cold and Black and Infinite North America 2018,Music,Rock,Saenger Theatre New Orleans,2018-11-24,70112,New Orleans,Louisiana
