,event name,Classification,genre,venue,Date,Zip code,City,State
0,"Broadway Comedy Club Presents Jon Fisch, Broadway Comedy Club presents",Miscellaneous,Community/Civic,Broadway Comedy Club,2018-08-04,10009,New York City,New York
1,Broadway Comedy Club presents Russ Meneve,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-04,10009,New York City,New York
2,Broadway Comedy Club Presents Harrison Greenbaum,Miscellaneous,Community/Civic,Broadway Comedy Club,2018-08-05,10009,New York City,New York
3,Broadway Comedy Club Presents Mike Vecchione,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-07,10009,New York City,New York
4,Broadway Comedy Club Presents Marina Franklin,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-08,10009,New York City,New York
5,Broadway Comedy Club Presents Sherry Davey,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-06,10009,New York City,New York
6,Broadway Comedy Club Presents Walli Colins,Miscellaneous,Community/Civic,Broadway Comedy Club,2018-08-09,10009,New York City,New York
7,Broadway Comedy Club Presents Mike Yard,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-10,10009,New York City,New York
8,"Erin Jackson, Erin Jackson",Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-10,10009,New York City,New York
9,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-08-11,10009,New York City,New York
10,Broadway Comedy Club Presents DC Benny,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-11,10009,New York City,New York
11,Broadway Comedy Club Presents JJ Ramirez,Arts & Theatre,Comedy,Broadway Comedy Club,2018-08-11,10009,New York City,New York
12,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-08-18,10009,New York City,New York
13,"Alegria Labor Day 2018, DJ Mauro Mozart, DJ Tom Stephan",Music,Dance/Electronic,FREQ,2018-09-02,10019,New York City,New York
14,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-09-15,10009,New York City,New York
15,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-09-29,10009,New York City,New York
16,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-10-13,10009,New York City,New York
17,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-10-27,10009,New York City,New York
18,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-11-10,10009,New York City,New York
19,Magic Show,Arts & Theatre,Magic & Illusion,Broadway Comedy Club,2018-11-17,10009,New York City,New York
