,event name,Classification,genre,venue,Date,Zip code,City,State
0,Seattle Seahawks vs. Minnesota Vikings,Sports,Football,CenturyLink Field,2018-12-10,98134,Seattle,Washington
1,Seattle Seahawks vs. Dallas Cowboys,Sports,Football,CenturyLink Field,2018-09-23,98134,Seattle,Washington
2,Seattle Mariners vs. Los Angeles Dodgers,Sports,Baseball,Safeco Field,2018-08-18,98134,Seattle,Washington
3,Seattle Seahawks vs. Oakland Raiders,Sports,Football,CenturyLink Field,2018-08-30,98134,Seattle,Washington
4,Seattle Mariners vs. Los Angeles Dodgers,Sports,Baseball,Safeco Field,2018-08-19,98134,Seattle,Washington
5,Seattle Seahawks vs. Green Bay Packers,Sports,Football,CenturyLink Field,2018-11-15,98134,Seattle,Washington
6,Seattle Seahawks vs. Los Angeles Chargers,Sports,Football,CenturyLink Field,2018-11-04,98134,Seattle,Washington
7,Seattle Seahawks vs. Indianapolis Colts,Sports,Football,CenturyLink Field,2018-08-09,98134,Seattle,Washington
8,Seattle Mariners vs. New York Yankees,Sports,Baseball,Safeco Field,2018-09-08,98134,Seattle,Washington
9,Seattle Seahawks vs. San Francisco 49ers,Sports,Football,CenturyLink Field,2018-12-02,98134,Seattle,Washington
10,Seattle Mariners vs. New York Yankees,Sports,Baseball,Safeco Field,2018-09-09,98134,Seattle,Washington
11,Seattle Mariners vs. Los Angeles Dodgers,Sports,Baseball,Safeco Field,2018-08-17,98134,Seattle,Washington
12,Seattle Mariners vs. New York Yankees,Sports,Baseball,Safeco Field,2018-09-07,98134,Seattle,Washington
13,Seattle Seahawks vs. Kansas City Chiefs,Sports,Football,CenturyLink Field,2018-12-23,98134,Seattle,Washington
14,Ozuna,Music,World,WaMu Theater,2018-11-01,98134,Seattle,Washington
15,Bad Bunny - La Nueva Religion Tour,Music,Hip-Hop/Rap,WaMu Theater,2018-09-06,98134,Seattle,Washington
16,JAY-Z and BEYONCÉ - OTR II,Music,Hip-Hop/Rap,CenturyLink Field,2018-10-04,98134,Seattle,Washington
17,Seattle Seahawks vs. Los Angeles Rams,Sports,Football,CenturyLink Field,2018-10-07,98134,Seattle,Washington
18,Pearl Jam Live 2018,Music,Rock,Safeco Field,2018-08-10,98134,Seattle,Washington
19,The King Romeo Santos,Music,World,WaMu Theater,2018-09-21,98134,Seattle,Washington
20,Pearl Jam Live 2018,Music,Rock,Safeco Field,2018-08-08,98134,Seattle,Washington
21,Foo Fighters: Concrete And Gold Tour '18,Music,Rock,Safeco Field,2018-09-01,98134,Seattle,Washington
22,Seattle Mariners vs. Toronto Blue Jays,Sports,Baseball,Safeco Field,2018-08-04,98134,Seattle,Washington
23,Seattle Mariners vs. Toronto Blue Jays,Sports,Baseball,Safeco Field,2018-08-05,98134,Seattle,Washington
24,Seattle Seahawks vs. Arizona Cardinals,Sports,Football,CenturyLink Field,2018-12-30,98134,Seattle,Washington
25,Sam Smith: The Thrill Of It All Tour,Music,Rock,KeyArena,2018-09-08,98109,Seattle,Washington
26,Mac Miller: The Swimming Tour,Music,Hip-Hop/Rap,WaMu Theater,2018-12-09,98134,Seattle,Washington
27,The King Romeo Santos,Music,World,WaMu Theater,2018-09-20,98134,Seattle,Washington
28,5 Seconds of Summer: Meet You There Tour,Music,Rock,Paramount Theatre,2018-10-05,98101,Seattle,Washington
29,MIGUEL: The Ascension Tour,Music,R&B,WaMu Theater,2018-09-28,98134,Seattle,Washington
30,Childish Gambino,Music,Hip-Hop/Rap,KeyArena,2018-09-29,98109,Seattle,Washington
31,Arctic Monkeys,Music,Rock,WaMu Theater,2018-10-23,98134,Seattle,Washington
32,Seattle Mariners vs. Houston Astros,Sports,Baseball,Safeco Field,2018-08-20,98134,Seattle,Washington
33,Jack White,Music,Rock,WaMu Theater,2018-08-13,98134,Seattle,Washington
34,Zac Brown Band: Down the Rabbit Hole Live!,Music,Country,Safeco Field,2018-08-31,98134,Seattle,Washington
35,Seattle Mariners vs. Houston Astros,Sports,Baseball,Safeco Field,2018-08-22,98134,Seattle,Washington
36,The Smashing Pumpkins: Shiny And Oh So Bright Tour,Music,Rock,KeyArena,2018-08-24,98109,Seattle,Washington
37,Florence and the Machine: The High As Hope Tour 2018,Music,Rock,KeyArena,2018-09-10,98109,Seattle,Washington
38,Halestorm + In This Moment,Music,Rock,WaMu Theater,2018-08-17,98134,Seattle,Washington
39,Leon Bridges: Good Thing Tour,Music,R&B,WaMu Theater,2018-09-14,98134,Seattle,Washington
40,Seattle Mariners vs. Houston Astros,Sports,Baseball,Safeco Field,2018-08-21,98134,Seattle,Washington
41,Daryl Hall & John Oates and Train,Music,Rock,KeyArena,2018-08-11,98109,Seattle,Washington
42,Alison Wonderland,Music,Dance/Electronic,WaMu Theater,2018-08-10,98134,Seattle,Washington
43,Dropkick Murphys And Flogging Molly,Music,Rock,WaMu Theater,2018-09-22,98134,Seattle,Washington
44,Troye Sivan: The Bloom Tour with special guest Kim Petras,Music,Pop,Paramount Theatre,2018-11-07,98101,Seattle,Washington
45,BØRNS,Music,Rock,Paramount Theatre,2018-10-17,98101,Seattle,Washington
46,SiriusXM Pres. Goo Goo Dolls - Dizzy Up The Girl 20th Anniversary Tour,Music,Rock,Paramount Theatre,2018-11-03,98101,Seattle,Washington
47,Iliza: Elder Millennial,Arts & Theatre,Comedy,Moore Theatre,2018-10-12,98101,Seattle,Washington
48,CAFÉ TACVBA: Niu Güeis Tour 2018,Music,World,Moore Theatre,2018-09-11,98101,Seattle,Washington
49,Casting Crowns,Music,Religious,McCaw Hall,2018-11-30,98109,Seattle,Washington
50,Game of Thrones Live Concert Experience,Music,Other,KeyArena,2018-09-06,98109,Seattle,Washington
51,Brandi Carlile,Music,Rock,Moore Theatre,2018-09-01,98101,Seattle,Washington
52,NEEDTOBREATHE: Forever On Your Side Tour with special guest JOHNNYSWIM,Music,Rock,WaMu Theater,2018-09-15,98134,Seattle,Washington
53,Amanda Miguel Y Diego Verdaguer,Music,World,Moore Theatre,2018-10-04,98101,Seattle,Washington
54,Seattle Mariners vs. Oakland Athletics,Sports,Baseball,Safeco Field,2018-09-24,98134,Seattle,Washington
55,Ed Sheeran: 2018 North American Stadium Tour,Music,Pop,CenturyLink Field,2018-08-25,98134,Seattle,Washington
56,University of North Dakota Football at Washington Huskies Football,Sports,Football,Husky Stadium-WA,2018-09-08,98195,Seattle,Washington
57,Virtual Self - Utopia Tour,Music,Dance/Electronic,WaMu Theater,2018-09-13,98134,Seattle,Washington
58,Rodriguez,Music,Folk,Moore Theatre,2018-08-12,98101,Seattle,Washington
59,Yuridia,Music,World,Moore Theatre,2018-09-27,98101,Seattle,Washington
60,Seattle Mariners vs. Texas Rangers,Sports,Baseball,Safeco Field,2018-09-29,98134,Seattle,Washington
61,Marisela en Concierto,Music,World,Moore Theatre,2018-09-22,98101,Seattle,Washington
62,Rezz,Music,Dance/Electronic,WaMu Theater,2018-09-29,98134,Seattle,Washington
63,An Evening with Gov't Mule,Music,Rock,Moore Theatre,2018-09-06,98101,Seattle,Washington
64,A Night Of Comedy From The Cast Of Bob's Burgers,Arts & Theatre,Comedy,Moore Theatre,2018-08-10,98101,Seattle,Washington
65,Hozier,Music,Rock,Paramount Theatre,2018-10-18,98101,Seattle,Washington
66,Arizona State Sun Devils Football at Washington Huskies Football,Sports,Football,Husky Stadium-WA,2018-09-22,98195,Seattle,Washington
67,Tenacious D,Music,Rock,Moore Theatre,2018-12-14,98101,Seattle,Washington
68,Sir Sly + Joywave,Music,Rock,Neptune Theatre,2018-11-09,98105,Seattle,Washington
69,Seattle Mariners vs. Oakland Athletics,Sports,Baseball,Safeco Field,2018-09-26,98134,Seattle,Washington
70,Los Angeles Galaxy at Seattle Sounders FC,Sports,Soccer,CenturyLink Field,2018-08-18,98134,Seattle,Washington
71,Seattle Mariners vs. Oakland Athletics,Sports,Baseball,Safeco Field,2018-09-25,98134,Seattle,Washington
72,Penn & Teller,Arts & Theatre,Comedy,Paramount Theatre,2018-11-30,98101,Seattle,Washington
73,Dan and Phil: World Tour 2018 - Interactive Introverts,Arts & Theatre,Comedy,Moore Theatre,2018-08-11,98101,Seattle,Washington
74,First Aid Kit,Music,Rock,Paramount Theatre,2018-10-01,98101,Seattle,Washington
75,Jacksepticeye: How Did We Get Here?,Arts & Theatre,Comedy,Moore Theatre,2018-09-03,98101,Seattle,Washington
76,Dan and Phil: World Tour 2018 - Interactive Introverts,Arts & Theatre,Comedy,Moore Theatre,2018-08-11,98101,Seattle,Washington
77,Courtney Barnett: Tell Me How You Really Feel,Music,Rock,Paramount Theatre,2018-10-08,98101,Seattle,Washington
78,Postmodern Jukebox,Music,Undefined,Paramount Theatre,2018-12-02,98101,Seattle,Washington
79,"Lucius: An Intimate, Acoustic Performance",Music,Rock,Moore Theatre,2018-09-12,98101,Seattle,Washington
80,Kathleen Madigan - Boxed Wine And Bigfoot,Arts & Theatre,Comedy,Moore Theatre,2018-10-06,98101,Seattle,Washington
81,CHVRCHES,Music,Rock,Paramount Theatre,2018-09-29,98101,Seattle,Washington
82,Miranda Sings,Arts & Theatre,Comedy,Moore Theatre,2018-09-08,98101,Seattle,Washington
83,DEADBEATS TOUR,Music,Dance/Electronic,WaMu Theater,2018-11-30,98134,Seattle,Washington
84,Blood Orange,Music,Rock,Moore Theatre,2018-09-15,98101,Seattle,Washington
85,Mystery Science Theatre 3000 Live! Featuring The Brain,Film,Miscellaneous,Moore Theatre,2018-11-11,98101,Seattle,Washington
86,Tyler Childers,Music,Folk,Neptune Theatre,2018-11-03,98105,Seattle,Washington
87,Zhu,Music,Dance/Electronic,Paramount Theatre,2018-10-16,98101,Seattle,Washington
88,Mystery Science Theatre 3000 Live! Featuring Deathstalker II,Film,Miscellaneous,Moore Theatre,2018-11-11,98101,Seattle,Washington
89,Owl City: Cinematic Tour w/Matthew Thiessen & The Earthquakes,Music,Rock,Neptune Theatre,2018-10-06,98105,Seattle,Washington
90,BYU Cougars Football at Washington Huskies Football,Sports,Football,Husky Stadium-WA,2018-09-29,98195,Seattle,Washington
91,"Jimmy Carr: The Best Of, Ultimate, Gold, Greatest Hits World Tour",Arts & Theatre,Comedy,Neptune Theatre,2018-11-30,98105,Seattle,Washington
92,"Panic! At The Disco: Pray for the Wicked Tour w ARIZONA, Hayley Kiyoko",Music,Rock,KeyArena,2018-08-10,98109,Seattle,Washington
93,FRANK TURNER & THE SLEEPING SOULS BE MORE KIND WORLD TOUR 2018,Music,Rock,Moore Theatre,2018-09-07,98101,Seattle,Washington
94,Rufus Wainwright,Music,Rock,Moore Theatre,2018-11-14,98101,Seattle,Washington
95,O.A.R. w/ Matt Nathanson,Music,Alternative,Showbox SODO,2018-09-18,98134,Seattle,Washington
96,Angel Olsen - Tiny Dreams Solo Tour,Music,Folk,Moore Theatre,2018-09-14,98101,Seattle,Washington
97,Los Angeles Dodgers at Seattle Mariners,Sports,Baseball,Safeco Field,2018-08-18,98134,Seattle,Washington
98,Los Angeles Dodgers at Seattle Mariners,Sports,Baseball,Safeco Field,2018-08-17,98134,Seattle,Washington
99,St. Paul and the Broken Bones,Music,R&B,Moore Theatre,2018-10-16,98101,Seattle,Washington
100,Imomsohard,Arts & Theatre,Comedy,Paramount Theatre,2018-11-13,98101,Seattle,Washington
101,Adam Carolla Show: Live Podcast Taping with Gina Grad & Bald Bryan,Arts & Theatre,Comedy,Moore Theatre,2018-09-13,98101,Seattle,Washington
102,Celtic Thunder X Tour,Music,World,Paramount Theatre,2018-11-05,98101,Seattle,Washington
103,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-09,98101,Seattle,Washington
104,Chris Hardwick: Id10t Tour,Arts & Theatre,Comedy,Neptune Theatre,2018-10-26,98105,Seattle,Washington
105,An Evening With The Tallest Man On Earth,Music,Rock,Neptune Theatre,2018-11-24,98105,Seattle,Washington
106,Wardruna,Music,World,Neptune Theatre,2018-09-17,98105,Seattle,Washington
107,Blues Traveler,Music,Rock,Neptune Theatre,2018-11-17,98105,Seattle,Washington
108,Lecrae + Andy Mineo,Music,Hip-Hop/Rap,Moore Theatre,2018-09-28,98101,Seattle,Washington
109,The War On Drugs,Music,Rock,Paramount Theatre,2018-09-06,98101,Seattle,Washington
110,Olafur Arnalds,Arts & Theatre,Classical,Moore Theatre,2019-01-26,98101,Seattle,Washington
111,Marc Broussard,Music,Rock,Neptune Theatre,2018-09-20,98105,Seattle,Washington
112,The Jesus Lizard,Music,Rock,Neptune Theatre,2018-09-28,98105,Seattle,Washington
113,Kurt Vile & the Violators,Music,Rock,Moore Theatre,2018-12-15,98101,Seattle,Washington
114,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-08,98101,Seattle,Washington
115,"Kacey Musgraves: Oh, What A World: Tour",Music,Country,Paramount Theatre,2019-02-19,98101,Seattle,Washington
116,"I'm With Her: Sara Watkins, Sarah Jarosz, Aoife O'Donovan",Music,Folk,Moore Theatre,2018-09-29,98101,Seattle,Washington
117,My Favorite Murder Live,Arts & Theatre,Comedy,Paramount Theatre,2018-10-20,98101,Seattle,Washington
118,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-17,98101,Seattle,Washington
119,Seattle Mariners vs. Baltimore Orioles,Sports,Baseball,Safeco Field,2018-09-03,98134,Seattle,Washington
120,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-12,98101,Seattle,Washington
121,Rise Against - Mourning In Amerika Tour,Music,Rock,WaMu Theater,2018-09-24,98134,Seattle,Washington
122,John Prine - The Tree Of Forgiveness Tour,Music,Rock,Paramount Theatre,2018-09-22,98101,Seattle,Washington
123,Stanford Cardinal Football at Washington Huskies Football,Sports,Football,Husky Stadium-WA,2018-11-03,98195,Seattle,Washington
124,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-09,98101,Seattle,Washington
125,Greta Van Fleet,Music,Rock,Paramount Theatre,2018-09-07,98101,Seattle,Washington
126,Welcome To Night Vale,Arts & Theatre,Theatre,Neptune Theatre,2019-01-18,98105,Seattle,Washington
127,New York Yankees at Seattle Mariners,Sports,Baseball,Safeco Field,2018-09-07,98134,Seattle,Washington
128,The Zombies,Music,Rock,Neptune Theatre,2018-09-18,98105,Seattle,Washington
129,Greta Van Fleet,Music,Rock,Paramount Theatre,2018-09-08,98101,Seattle,Washington
130,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-18,98101,Seattle,Washington
131,Seattle Mariners vs. Texas Rangers,Sports,Baseball,Safeco Field,2018-09-30,98134,Seattle,Washington
132,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-11,98101,Seattle,Washington
133,James Bay,Music,Rock,Paramount Theatre,2019-04-03,98101,Seattle,Washington
134,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-11,98101,Seattle,Washington
135,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-14,98101,Seattle,Washington
136,My Favorite Murder Live,Arts & Theatre,Comedy,Paramount Theatre,2018-10-20,98101,Seattle,Washington
137,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-12,98101,Seattle,Washington
138,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-18,98101,Seattle,Washington
139,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-10,98101,Seattle,Washington
140,Serial Killers - LIVE on Stage,Arts & Theatre,Theatre,Moore Theatre,2018-10-17,98101,Seattle,Washington
141,Dweezil Zappa Choice Cuts World Tour 2018,Music,Rock,Neptune Theatre,2018-12-14,98105,Seattle,Washington
142,Erasure - World Be Gone Tour,Music,Rock,Moore Theatre,2018-08-14,98101,Seattle,Washington
143,Wild Kratts Live 2.0 - Activate Creature Power!,Arts & Theatre,Children's Theatre,Paramount Theatre,2018-09-30,98101,Seattle,Washington
144,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-16,98101,Seattle,Washington
145,The Phantom of the Opera (Touring),Arts & Theatre,Theatre,Paramount Theatre,2018-08-19,98101,Seattle,Washington
146,Dermot Kennedy,Music,Rock,Neptune Theatre,2018-11-15,98105,Seattle,Washington
147,Los Angeles Dodgers at Seattle Mariners,Sports,Baseball,Safeco Field,2018-08-19,98134,Seattle,Washington
148,New York Yankees at Seattle Mariners,Sports,Baseball,Safeco Field,2018-09-08,98134,Seattle,Washington
