,event name,Classification,genre,venue,Date,Zip code,City,State
0,Maroon 5: Red Pill Blues Tour 2018,Music,Rock,Enterprise Center,2018-09-13,63103,St Louis,Missouri
1,Elton John: Farewell Yellow Brick Road,Music,Rock,Enterprise Center,2018-10-30,63103,St Louis,Missouri
2,An Evening With Fleetwood Mac,Music,Rock,Enterprise Center,2018-10-20,63103,St Louis,Missouri
3,Justin Timberlake - The Man Of The Woods Tour,Music,Rock,Enterprise Center,2018-12-13,63103,St Louis,Missouri
4,TWENTY ONE PILOTS - THE BANDITO TOUR,Music,Rock,Enterprise Center,2018-10-19,63103,St Louis,Missouri
5,SHAWN MENDES: THE TOUR,Music,Rock,Enterprise Center,2019-06-30,63103,St Louis,Missouri
6,Foo Fighters: Concrete And Gold Tour '18,Music,Rock,Enterprise Center,2018-10-13,63103,St Louis,Missouri
7,Sam Smith: The Thrill Of It All Tour,Music,Rock,Chaifetz Arena,2018-08-17,63103,St. Louis,Missouri
8,Live Nation Presents Lil Baby- Harder Than Ever Tour,Music,Hip-Hop/Rap,The Pageant,2018-08-22,63112,St Louis,Missouri
9,Taylor Swift reputation Stadium Tour,Music,Rock,The Dome at America's Center,2018-09-18,63101,St Louis,Missouri
10,Brett Eldredge: The Long Way Tour,Music,Country,Stifel Theatre,2018-10-05,63103,St. Louis,Missouri
11,Maxwell: 50 Intimate Nights Live,Music,R&B,Stifel Theatre,2018-11-15,63103,St. Louis,Missouri
12,"Earth, Wind & Fire",Music,R&B,Stifel Theatre,2018-08-24,63103,St. Louis,Missouri
13,Nick Cannon Presents: Wild 'N Out,Arts & Theatre,Comedy,Enterprise Center,2018-11-02,63103,St Louis,Missouri
14,Lauren Daigle Look Up Child Tour,Music,Religious,Stifel Theatre,2019-03-03,63103,St. Louis,Missouri
15,Christina Aguilera: The Liberation Tour,Music,Pop,Stifel Theatre,2018-11-06,63103,St. Louis,Missouri
16,KSHE 95's Paranormal Evening with Alice Cooper,Music,Rock,Stifel Theatre,2018-10-20,63103,St. Louis,Missouri
17,Bob Seger & The Silver Bullet Band,Music,Rock,Enterprise Center,2018-11-30,63103,St Louis,Missouri
18,Joe Bonamassa,Music,Blues,Stifel Theatre,2018-11-10,63103,St. Louis,Missouri
19,Iliza: Elder Millennial,Arts & Theatre,Comedy,The Pageant,2018-10-20,63112,St Louis,Missouri
20,"HANSON STRING THEORY, Live with Orchestra",Music,Rock,Stifel Theatre,2018-11-07,63103,St. Louis,Missouri
21,Sting & Shaggy - The 44/876 Tour,Music,Rock,The Pageant,2018-10-01,63112,St Louis,Missouri
